issue_id,title,description,issue_type,status,priority,assignee,team,story_points,dependencies,updated_at
ISS-0091,META: Collect together deprecated code changes for Moodle 2.7,,task,in_progress,medium,Dev_2,frontend,3,,2026-02-15
ISS-0092,book restore from moodle 1.9: Images are not imported,,task,in_progress,medium,Dev_5,devops,3,,2026-02-21
ISS-0093,Activity chooser links and toolbox links not correctly created if you don't have a wrapper div called #page-content,,task,in_progress,medium,Dev_2,backend,3,,2026-02-17
ISS-0094,Restore of wiki fails with unique constraint violation,,task,todo,medium,Dev_1,devops,3,,2026-02-16
ISS-0095,Login Page lacks visible focus path,,task,in_progress,medium,Dev_1,devops,3,,2026-02-19
ISS-0096,Add activity and resource link doesn't announce when the modal appears,,story,todo,medium,Dev_5,ml_team,3,,2026-02-27
ISS-0097,Create folder button in file manager does not announce modal opened,,task,todo,medium,Dev_2,ml_team,3,,2026-02-17
ISS-0098,Create folder modal in file manager does not focus on the text input field,,task,in_progress,medium,Dev_5,ml_team,3,,2026-02-13
ISS-0099,Add... button does not announce modal opened,,story,done,medium,Dev_1,devops,3,,2026-02-17
ISS-0100,Add.. modal allows tab focus to go outside the modal,,story,done,medium,Dev_1,devops,3,,2026-02-28
ISS-0101,Add... Modal Error Modal does not announce modal opened,,story,done,medium,Dev_1,ml_team,3,,2026-02-26
ISS-0102,File picker Error modal does not focus on text,,task,done,medium,Dev_4,ml_team,3,,2026-02-20
ISS-0103,Filepicker selecting a repository does not announce a change in the modal,,task,done,medium,Dev_4,devops,3,ISS-19431,2026-02-28
ISS-0104,File manager file size and number limits are not keyboard accessible,,task,in_progress,medium,Dev_3,devops,3,,2026-02-27
ISS-0105,Filepicker and file manager view files buttons do not announce change on the page,,task,in_progress,medium,Dev_4,devops,3,ISS-23312,2026-02-17
ISS-0106,Moodle redirect to new page has no page title (specifically forums),,task,done,medium,Dev_1,backend,3,,2026-02-15
ISS-0107,File manager selecting file does not announce that the file modal opened,,task,todo,medium,Dev_1,frontend,3,,2026-02-20
ISS-0108,Comment delete confirmation yes/no pop-up not detected by JAWS or Voiceover,,task,in_progress,medium,Dev_3,frontend,3,,2026-02-14
ISS-0109,Move action for activities and course sections are not keyboard accessible with javascript enabled,,task,done,medium,Dev_4,backend,3,,2026-02-26
ISS-0110,Gradebook Sum of grades shows wrong total if items are hidden,,task,done,medium,Dev_1,ml_team,3,,2026-02-21
ISS-0111,Add event/logging when student views grades,,story,todo,medium,Dev_4,ml_team,3,,2026-02-15
ISS-0112,Forms help icons are placed within labels,,task,todo,medium,Dev_3,devops,3,ISS-12584,2026-02-23
ISS-0113,flexible table hide column does not announce change to screen reader,,task,todo,medium,Dev_5,devops,3,,2026-02-15
ISS-0114,Gradebook table uses complex tables that are not accessible,,task,in_progress,medium,Dev_2,ml_team,3,,2026-02-17
ISS-0115,pre-cache active filters for course categories to significantly reduce database queries,,task,done,medium,Dev_2,ml_team,3,,2026-02-23
ISS-0116,Extra credit boxes checked when switching aggregation methods,,task,todo,medium,Dev_4,frontend,3,ISS-13647,2026-02-22
ISS-0117,User cannot add necessary accessibility attributes to make the default video player accessible.,,story,todo,medium,Dev_2,ml_team,3,,2026-02-14
ISS-0118,Video player can't be controlled by keyboard,,task,in_progress,medium,Dev_5,frontend,3,,2026-02-13
ISS-0119,Adding/modifying questions to/in the question bank is not logged,,story,done,medium,Dev_5,devops,3,ISS-1301,2026-02-21
ISS-0120,Error restoring a Moodle 1.9.x course to Moodle 2.x due to long filenames,,task,in_progress,medium,Dev_2,devops,3,,2026-02-18
ISS-0121,Moving blocks on the course page is impossible with a keyboard,,task,todo,medium,Dev_2,frontend,3,,2026-02-26
ISS-0122,Add support for selected gallery modules,,story,in_progress,medium,Dev_1,backend,3,,2026-02-15
ISS-0123,Make the rubrics advanced grading criteria accessible to screen readers,,task,done,medium,Dev_2,devops,3,ISS-7014,2026-02-28
ISS-0124,Forced/Auto forums list all potential subscribers and ignore completion/availability info,,task,in_progress,medium,Dev_4,devops,3,,2026-02-27
ISS-0125,Prevent false-positive failures due to time differences,,task,done,medium,Dev_2,frontend,3,ISS-21216,2026-02-22
ISS-0126,Alfresco select box broken in Chrome.,,task,todo,medium,Dev_1,backend,3,,2026-02-27
ISS-0127,Prevent inaccurate feedback notifications where grade item hidden,,task,todo,medium,Dev_1,backend,3,ISS-9220,2026-02-28
ISS-0128,TinyMCE editor doesn't accept keyboard input on iOS6 after touch event,,task,in_progress,medium,Dev_2,ml_team,3,,2026-02-20
ISS-0129,Dock JS incorrectly parses region ID,,task,done,medium,Dev_2,frontend,3,,2026-02-27
ISS-0130, null event.uuid's discovered when upgrading to Moodle 2.4,,task,todo,medium,Dev_5,ml_team,3,,2026-02-17
ISS-0131,Documentation for caching admin screens,,task,in_progress,medium,Dev_4,frontend,3,,2026-02-20
ISS-0132,Assignment module should redirect after form submissions,,task,in_progress,medium,Dev_4,devops,3,,2026-02-19
ISS-0133,Backups report show all courses with status Skipped.,,task,done,medium,Dev_2,devops,3,,2026-02-27
ISS-0134,More webservices for Assignment,,task,done,medium,Dev_4,frontend,3,,2026-02-26
ISS-0135,Comments API doesn't store or validate component,,task,in_progress,medium,Dev_4,ml_team,3,ISS-16776,2026-02-13
ISS-0136,restore always removes course idnumber,,task,todo,medium,Dev_2,devops,3,,2026-02-21
ISS-0137,Ajax dragging not working (fails to 'pick up'),,task,done,medium,Dev_3,backend,3,ISS-8734,2026-02-17
ISS-0138,Better looking tinymce editor: toggle toolbars between 1 and 3 lines,,task,in_progress,medium,Dev_1,ml_team,3,,2026-02-23
ISS-0139,Import phpmailer 5.2.7,,task,in_progress,medium,Dev_5,frontend,3,ISS-12530,2026-02-18
ISS-0140,add warning when teacher tries to disable enrolment method (same as when deleting it),,story,done,medium,Dev_4,backend,3,,2026-02-27
ISS-0141,"admin can set site-wide default settings for user profile fields: Email display, format, digest, Forum subscription & tracking, use HTML editor, Screen reader",,task,done,medium,Dev_3,ml_team,3,ISS-9288,2026-02-16
ISS-0142,"When viewing a single section, the page title does not update",,task,todo,medium,Dev_1,devops,3,,2026-02-17
ISS-0143,"Navigation block: clicking on ""My courses"" sends you to ""My moodle""",,task,in_progress,medium,Dev_2,frontend,3,ISS-2544,2026-02-24
ISS-0144,$CFG->stringfilters do not get updated during upgrade or when a filter is deleted,,task,todo,medium,Dev_2,ml_team,3,,2026-02-24
ISS-0145,"Over-large backups fail transparently, then do not get deleted next time, so space fills up",,task,in_progress,medium,Dev_1,backend,3,,2026-02-15
ISS-0146,"Assignment (2.2) ""Upload Single"" settings submission file link does not work",,task,todo,medium,Dev_2,ml_team,3,,2026-02-18
ISS-0147,"Major Performance Problem with ""Moving Modules"" upgrade step",,task,in_progress,medium,Dev_5,backend,3,,2026-02-13
ISS-0148,maximise/minimise button to hide the lateral blocks/dock,,task,done,medium,Dev_5,ml_team,3,,2026-02-24
ISS-0149,Convert filepickers and filemanagers to YUI modules,,task,in_progress,medium,Dev_1,ml_team,3,ISS-8123,2026-02-16
ISS-0150,New Assignment Module - Gives learners the top grade in a scale,,task,todo,medium,Dev_2,devops,3,,2026-02-22
ISS-0151,Left and right arrows for calendar not showing up on Android,,task,todo,medium,Dev_3,ml_team,3,,2026-02-25
ISS-0152,"Lesson essays ""disappear"" if new attempt after exiting",,task,done,medium,Dev_1,ml_team,3,ISS-17853,2026-02-14
ISS-0153,Convert URL into Links filter prevents backgrounds on tables when Apply to HTML Format is checked.,,task,todo,medium,Dev_2,backend,3,,2026-02-18
ISS-0154,Graded course activity while editing gradebook causes unintentional overrides,,task,in_progress,medium,Dev_1,ml_team,3,,2026-02-17
ISS-0155,WYSIWYG Editor cuts off content in full screen mode,,task,done,medium,Dev_2,ml_team,3,,2026-02-24
ISS-0156,"Coding error ""The theme has already been set up for this page ready for output"" when adding blog entry to a page resource",,story,done,medium,Dev_4,ml_team,3,ISS-5943,2026-02-18
ISS-0157,Undefined variable: sillybyrefvar in mod/forum/backup/moodle2/restore_forum_stepslib.php,,task,in_progress,medium,Dev_1,backend,3,,2026-02-21
ISS-0158,$CFG->yuicomboloading prevents use of yui_combo.php,,task,todo,medium,Dev_4,backend,3,,2026-02-22
ISS-0159,"If ""Aggregate only non-empty grades"" is NOT selected for grade category then total is displayed as dashes instead of zeros.",,task,in_progress,medium,Dev_2,frontend,3,,2026-02-24
ISS-0160,Web Services returns empty array when permissions are invalid for 'core_user_get_users_by_id' request,,task,done,medium,Dev_3,backend,3,,2026-02-24
ISS-0161,Remove unused FRONTPAGE* constants,,task,todo,medium,Dev_5,devops,3,,2026-02-17
ISS-0162,File manager form elements size,,task,todo,medium,Dev_1,ml_team,3,,2026-02-27
ISS-0163,Unread Posts listing on 'My Moodle' should take care of groups,,task,done,medium,Dev_2,ml_team,3,ISS-10694,2026-02-28
ISS-0164,Finish detailed specification http://docs.moodle.org/dev/Logging_2,,task,done,medium,Dev_3,backend,3,ISS-19461,2026-02-21
ISS-0165,Replace strtolower in block/completionstatus with textlib::strtolower,,task,done,medium,Dev_3,backend,3,,2026-02-16
ISS-0166,Cannot dock blocks with Bootstrapbase/clean theme,,task,todo,medium,Dev_1,ml_team,3,ISS-6109,2026-02-22
ISS-0167,"core_role_assign_roles ws function contains contextid as parameter, which is not correct",,task,done,medium,Dev_2,frontend,3,ISS-8133,2026-02-23
ISS-0168,Unenroling and re-enrolling student causes inconsistent grade data,,task,todo,medium,Dev_5,ml_team,3,,2026-02-20
ISS-0169,"core_roles_unassign_roles ws function contains contextid as parameters, which is not correct",,task,done,medium,Dev_3,backend,3,,2026-02-13
ISS-0170,SCORM navigation panel is hidden when bootstrap theme is active,,task,in_progress,medium,Dev_2,frontend,3,,2026-02-20
ISS-0171,CSS issues on a course page using Bootstrap (Clean theme),,task,in_progress,medium,Dev_3,frontend,3,,2026-02-17
ISS-0172,Collapsible editor tab can't be controlled via keyboard,,task,todo,medium,Dev_1,frontend,3,ISS-1865,2026-02-21
ISS-0173,"core_files_get_files, core_files_upload_files ws functions contain context as parameter, which is not correct",,task,todo,medium,Dev_5,backend,3,,2026-02-22
ISS-0174,Search filter on enrolled users page is confusing in clean theme,,task,done,medium,Dev_4,devops,3,ISS-12176,2026-02-24
ISS-0175,IMS Enterprise CRON job error,,task,todo,medium,Dev_5,devops,3,,2026-02-24
ISS-0176,theme_clean: notice about undefined offset,,task,todo,medium,Dev_3,ml_team,3,,2026-02-20
ISS-0177,Width thresholds for form labels in the Clean Theme need to be higher.,,task,todo,medium,Dev_1,backend,3,,2026-02-26
ISS-0178,Changing activity title on course front page with AJAX does not fire mod_updated event,,task,in_progress,medium,Dev_3,frontend,3,,2026-02-13
ISS-0179,Second student can't confirm assignment submission,,task,todo,medium,Dev_3,devops,3,,2026-02-14
ISS-0180,Text overlap in HTMLEditor in Bootstrap theme,,task,in_progress,medium,Dev_5,frontend,3,,2026-02-16
ISS-0181,SCORM content section is too narrow on narrow screen devices,,task,in_progress,medium,Dev_3,backend,3,,2026-02-20
ISS-0182,Mobile-friendly way to display blocks on small screen,,task,todo,medium,Dev_3,ml_team,3,ISS-5498,2026-02-20
ISS-0183,SCORM does not reflow on resize/orientation change,,task,todo,medium,Dev_3,devops,3,,2026-02-27
ISS-0184,Make input boxes' size consistent and not overlapping with the next level in Assignment advanced grading. ,,task,todo,medium,Dev_1,frontend,3,,2026-02-17
ISS-0185,Popup as File picker/Activity chooser should be mobile friendly,,task,done,medium,Dev_5,ml_team,3,,2026-02-23
ISS-0186,"On discussion page, user name is overlapping with profile picture",,task,done,medium,Dev_2,ml_team,3,,2026-02-26
ISS-0187,The chat activity window is poorly suited to a phone,,task,in_progress,medium,Dev_2,backend,3,,2026-02-28
ISS-0188,Embedded URL resource doesnt seem to load on an iphone 3gs,,task,in_progress,medium,Dev_1,ml_team,3,,2026-02-20
ISS-0189,Adding new block doesn't automatically add the block to the page.,,story,done,medium,Dev_5,frontend,3,,2026-02-17
ISS-0190,Fullscreen activity chooser on tablet screens,,task,done,medium,Dev_4,ml_team,3,ISS-3659,2026-02-18
ISS-0191,taking photos via file picker results in a huge sideways photo,,task,todo,medium,Dev_3,devops,3,,2026-02-19
ISS-0192,Fix alignment for required field (red *) on creating new wiki page,,task,in_progress,medium,Dev_5,devops,3,,2026-02-14
ISS-0193,Printer-friendly version link can be improved,,task,in_progress,medium,Dev_4,ml_team,3,,2026-02-23
ISS-0194,Editor goes under right-hand blocks on smaller screens,,task,done,medium,Dev_1,devops,3,ISS-7032,2026-02-21
ISS-0195,Multiple select options displays as empty box,,task,in_progress,medium,Dev_5,frontend,3,,2026-02-15
ISS-0196,Login page is overly verbose for a mobile device,,task,todo,medium,Dev_2,frontend,3,,2026-02-21
ISS-0197,Grading is not mobile friendly,,task,done,medium,Dev_2,devops,3,ISS-6539,2026-02-27
ISS-0198,Define and implement the event base class,,story,done,medium,Dev_2,ml_team,3,,2026-02-24
ISS-0199,Define the new observers API,,task,todo,medium,Dev_1,backend,3,,2026-02-27
ISS-0200,"Clean - Categories and Items, move grade item screen is squished.",,task,todo,medium,Dev_5,ml_team,3,,2026-02-20
ISS-0201,"When editing is on for the front page, then always show the ""Add course"" button under the current courses.",,story,in_progress,medium,Dev_5,ml_team,3,,2026-02-19
ISS-0202,Long Breadcrumbs get wrapped on narrow screens when using Clean Theme,,task,done,medium,Dev_3,devops,3,,2026-02-25
ISS-0203,Define new event dispatcher behaviour and implement it,,story,todo,medium,Dev_1,devops,3,ISS-18647,2026-02-28
ISS-0204,Check coverage of unit tests for new events API,,task,in_progress,medium,Dev_4,backend,3,,2026-02-13
ISS-0205,Pre and post performance profiling,,task,todo,medium,Dev_2,frontend,3,ISS-11777,2026-02-16
ISS-0206,Improve editing icons for usability on all types of screens,,task,todo,medium,Dev_1,devops,3,,2026-02-19
ISS-0207,Full screen popup for mobile (filepicker/activitychooser),,task,done,medium,Dev_1,frontend,3,,2026-02-26
ISS-0208,Automatic class loading,,task,todo,medium,Dev_5,frontend,3,,2026-02-27
ISS-0209,Duplicating activity on course page does not fire any event,,task,in_progress,medium,Dev_2,frontend,3,,2026-02-22
ISS-0210,Improvement: have the header on bootstrapbase remain onscreen when scrolling on mobile devices.,,task,todo,medium,Dev_3,devops,3,,2026-02-21
ISS-0211,check usage of class_exists to avoid usage of autoloading,,task,in_progress,medium,Dev_5,backend,3,ISS-6968,2026-02-15
ISS-0212,Replace usages of the log table in auth/mnet/auth.php,,task,todo,medium,Dev_1,devops,3,ISS-18055,2026-02-19
ISS-0213,Block without header causes JS error on page,,task,todo,medium,Dev_1,frontend,3,ISS-10242,2026-02-24
ISS-0214,Reproduce log reports to use the new logging system (log and loglive),,task,done,medium,Dev_5,devops,3,,2026-02-15
ISS-0215,Implement external database log storage plugin,,story,done,medium,Dev_1,devops,3,,2026-02-25
ISS-0216,Replace Legacy events - Cohort,,task,in_progress,medium,Dev_1,ml_team,3,,2026-02-19
ISS-0217,Replace Legacy events - Assessable content,,task,todo,medium,Dev_4,backend,3,,2026-02-13
ISS-0218,Replace Legacy events - Blogs,,task,done,medium,Dev_3,devops,3,ISS-23138,2026-02-18
ISS-0219,Replace Legacy events - Completion,,task,in_progress,medium,Dev_4,ml_team,3,ISS-21607,2026-02-27
ISS-0220,Replace Legacy events - Groups,,task,in_progress,medium,Dev_4,backend,3,,2026-02-23
ISS-0221,Replace Legacy events - Course,,task,in_progress,medium,Dev_5,frontend,3,,2026-02-27
ISS-0222,Replace Legacy events - module,,task,todo,medium,Dev_4,ml_team,3,,2026-02-13
ISS-0223,Replace Legacy events - role,,task,in_progress,medium,Dev_5,frontend,3,,2026-02-28
ISS-0224,Assignment submission comments are not restored,,task,todo,medium,Dev_4,ml_team,3,,2026-02-14
ISS-0225,Legacy events and addtolog()  Cleanup,,story,todo,medium,Dev_4,ml_team,3,,2026-02-23
ISS-0226,Check usage of comment::init() and set component param,,task,todo,medium,Dev_4,backend,3,,2026-02-19
ISS-0227,Replace Legacy events - User,,task,todo,medium,Dev_4,ml_team,3,,2026-02-18
ISS-0228,Replace Legacy events - Mixed,,task,todo,medium,Dev_5,devops,3,,2026-02-28
ISS-0229,Epic: File API improvements to handle clustering environments,,task,done,medium,Dev_1,ml_team,3,,2026-02-15
ISS-0230,POLICY: Decide if we should allow context to be exposed by WS or not,,task,in_progress,medium,Dev_5,devops,3,ISS-2862,2026-02-14
ISS-0231,Replace add_to_log with an event trigger - Course,,story,done,medium,Dev_5,devops,3,,2026-02-27
ISS-0232,Replace add_to_log with an event trigger - Blog,,story,todo,medium,Dev_4,ml_team,3,,2026-02-26
ISS-0233,Add alternative to contextid for core_files_external::upload,,story,in_progress,medium,Dev_1,ml_team,3,ISS-11473,2026-02-18
ISS-0234,Replace add_to_log with an event trigger - completion,,story,done,medium,Dev_3,backend,3,,2026-02-18
ISS-0235,Replace add_to_log with an event trigger - role,,story,done,medium,Dev_4,frontend,3,,2026-02-16
ISS-0236,Replace add_to_log with an event trigger - User,,story,done,medium,Dev_5,frontend,3,,2026-02-19
ISS-0237,Replace add_to_log with an event trigger - course,,story,in_progress,medium,Dev_3,ml_team,3,,2026-02-19
ISS-0238,Replace add_to_log with an event trigger - mod_page,,story,done,medium,Dev_3,frontend,3,,2026-02-26
